,title,author,release year,synopsis,book length,rating,number of ratings
133,Northanger Abbey (Paperback),Jane Austen,1817,"A wonderfully entertaining coming-of-age story, Northanger Abbey is often referred to as Jane Austen's ""Gothic parody."" Decrepit castles, locked rooms, mysterious chests, cryptic notes, and tyrannical fathers give the story an uncanny air, but one with a decidedly satirical twist.The story's unlikely heroine is Catherine Morland, a remarkably innocent seventeen-year-old wo",260,3.84,356726
134,"The Wrath and the Dawn (The Wrath and the Dawn, #1)",Renée Ahdieh,2015,,,4.07,160644
135,"Shadow and Bone (The Shadow and Bone Trilogy, #1)",Leigh Bardugo,2012,,,3.95,776233
136,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,2010,"My name is Katniss Everdeen.Why am I not dead?I should be dead.Katniss Everdeen, girl on fire, has survived, even though her home has been destroyed. Gale has escaped. Katniss's family is safe. Peeta has been captured by the Capitol. District 13 really does exist. There are rebels. There are new leaders. A revolution is unfolding.It is by design that Katniss was rescued fr",398,4.06,2804597
137,Love on the Brain (Kindle Edition),Ali Hazelwood,2022,,,4.07,87537
138,Water for Elephants (Paperback),Sara Gruen,2006,,,4.1,1520037
139,"Boyfriend Material (London Calling, #1)",Alexis  Hall,2020,"Wanted:One (fake) boyfriendPractically perfect in every wayLuc O'Donnell is tangentially--and reluctantly--famous. His rock star parents split when he was young, and the father he's never met spent the next twenty years cruising in and out of rehab. Now that his dad's making a comeback, Luc's back in the public eye, and one compromising photo is enough to ruin everything.T",427,4.09,81105
140,"The Heir (The Selection, #4)",Kiera Cass,2015,"Princess Eadlyn has grown up hearing endless stories about how her mother and father met. Twenty years ago, America Singer entered the Selection and won the heart of Prince Maxon - and they lived happily ever after. Eadlyn has always found their fairy-tale story romantic, but she has no interest in trying to repeat it. If it were up to her, she'd put off marriage for as lo",342,3.67,300177
141,"It's in His Kiss (Bridgertons, #7)",Julia Quinn,2005,"IF IT'S IN HIS HEART... IT'S IN HIS KISSMEET OUR HERO...Gareth St. Clair is in a bind. His father, who detests him, is determined to beggar the St. Clair estates and ruin his inheritance. Gareth's sole bequest is an old family diary, which may or may not contain the secrets of his past... and the key to his future. The problem is—it's written in Italian, of which Gareth sp",384,4.01,105907
142,"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,2009,,,4.29,901506
143,"Lola and the Boy Next Door (Anna and the French Kiss, #2)",Stephanie Perkins,2011,"Alternate Cove edition for ISBN 9780525423287Lola Nolan is a budding costume designer, and for her, the more outrageous, sparkly, and fun the outfit, the better. And everything is pretty perfect in her life (right down to her hot rocker boyfriend) until the Bell twins, Calliope and Cricket, return to the neighborhood. When Cricket, a gifted inventor, steps out from his twi",338,3.92,160612
144,"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,2010,"In a time when Shadowhunters are barely winning the fight against the forces of darkness, one battle will change the course of history forever. Welcome to the Infernal Devices trilogy, a stunning and dangerous prequel to the New York Times bestselling Mortal Instruments series.The year is 1878. Tessa Gray descends into London’s dark supernatural underworld in search of her",479,4.32,776513
145,In a Holidaze (Paperback),Christina Lauren,2020,"Alternate cover edition can be found hereOne Christmas wish, two brothers, and a lifetime of hope are on the line for hapless Maelyn Jones in In a Holidaze, the quintessential holiday romantic novel by Christina Lauren, the New York Times bestselling author of The Unhoneymooners..It’s the most wonderful time of the year…but not for Maelyn Jones. She’s living with her paren",307,3.74,110076
146,"Neon Gods (Dark Olympus, #1)",Katee Robert,2021,"He was supposed to be a myth. But from the moment I crossed the River Styx and fell under his dark spell... he was, quite simply, mine.Society darling Persephone Dimitriou plans to flee the ultra-modern city of Olympus and start over far from the backstabbing politics of the Thirteen Houses. But all that’s ripped away when her mother ambushes her with an engagement to Zeus",380,3.74,112532
147,"Secrets of a Summer Night (Wallflowers, #1)",Lisa Kleypas,2004,"
Four young ladies at the side of the ballroom make a pact to help each other find husbands . . . no matter what it takes.
Proud and beautiful Annabelle Peyton could have her pick of suitors—if only she had a dowry. Her family is on the brink of disaster, and the only way Annabelle can save them is to marry a wealthy man. Unfortunately her most persistent admirer is the ",384,4.03,67926
148,"Carry On (Simon Snow, #1)",Rainbow Rowell,2015,"Simon Snow is the worst Chosen One who's ever been chosen.That's what his roommate, Baz, says. And Baz might be evil and a vampire and a complete git, but he's probably right.Half the time, Simon can't even make his wand work, and the other half, he starts something on fire. His mentor's avoiding him, his girlfriend broke up with him, and there's a magic-eating monster run",522,4.2,280623
149,"Heartstopper: Volume Four (Heartstopper, #4)",Alice Oseman,2021,"Boy meets boy. Boys become friends. Boys fall in love. The bestselling LGBTQ+ graphic novel about life, love, and everything that happens in between: this is the fourth volume of HEARTSTOPPER, for fans of The Art of Being Normal, Holly Bourne and Love, Simon.Charlie didn't think Nick could ever like him back, but now they're officially boyfriends. Charlie's beginning to fe",384,4.67,227360
150,Safe Haven (Kindle Edition),Nicholas Sparks,2010,"From the #1 New York Times bestselling author comes a captivating love story filled with suspense and mystery.When a mysterious young woman named Katie appears in the small North Carolina town of Southport, her sudden arrival raises questions about her past. Beautiful yet self-effacing, Katie seems determined to avoid forming personal ties until a series of events draws he",353,4.21,363661
151,"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,1996,,,3.79,935257
152,"Spoiler Alert (Spoiler Alert, #1)",Olivia Dade,2020,"Olivia Dade bursts onto the scene in this delightfully fun romantic comedy set in the world of fanfiction, in which a devoted fan goes on an unexpected date with her celebrity crush, who’s secretly posting fanfiction of his own. Marcus Caster-Rupp has a secret. While the world knows him as Aeneas, the star of the biggest show on TV, Gods of the Gates, he's known to fanfict",416,3.71,33910
153,The Lucky One (Hardcover),Nicholas Sparks,2007,,,4.12,347631
154,Kulti (Kindle Edition),Mariana Zapata,2015,,,4.31,95837
155,"Voyager (Outlander, #3)",Diana Gabaldon,1993,"From the author of the breathtaking bestsellers Outlander and Dragonfly in Amber, the extraordinary saga continues.Their passionate encounter happened long ago by whatever measurement Claire Randall took. Two decades before, she had traveled back in time and into the arms of a gallant eighteenth-century Scot named Jamie Fraser. Then she returned to her own century to bear ",870,4.38,286958
156,"Reflected in You (Crossfire, #2)",Sylvia Day,2012,"Gideon Cross. As beautiful and flawless on the outside as he was damaged and tormented on the inside. He was a bright, scorching flame that singed me with the darkest of pleasures. I couldn't stay away. I didn't want to. He was my addiction... my every desire... mine.My past was as violent as his, and I was just as broken. We’d never work. It was too hard, too painful... e",352,4.31,334677
157,Birthday Girl (ebook),Penelope Douglas,2018,"JORDANHe took me in when I had nowhere else to go. He doesn’t use me, hurt me, or forget about me. He listens to me, protects me, and sees me. I can feel his eyes on me over the breakfast table, and my heart pumps so hard when I hear him pull in the driveway after work. I have to stop this. It can’t happen. My sister once told me there are no good men, and if you find one,",349,4.0,155589
158,99 Percent Mine (Hardcover),Sally  Thorne,2019,,,3.39,69346
159,"The Roommate (The Shameless Series, #1)",Rosie Danan,2020,,,3.65,76613
160,Can You Keep a Secret? (Paperback),Sophie Kinsella,2003,"Meet Emma Corrigan, a young woman with a huge heart, an irrepressible spirit, and a few little secrets: Secrets from her boyfriend: I've always thought Connor looks a bit like Ken. As in Barbie and Ken. Secrets from her mother: I lost my virginity in the spare bedroom with Danny Nussbaum while Mum and Dad were downstairs watching Ben-Hur. Secrets she wouldn't share with an",374,3.84,417862
161,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,2007,"Only a true best friend can protect you from your immortal enemies...Lissa Dragomir is a Moroi princess: a mortal vampire with a rare gift for harnessing the earth's magic. She must be protected at all times from Strigoi; the fiercest vampires—the ones who never die. The powerful blend of human and vampire blood that flows through Rose Hathaway, Lissa's best friend, makes ",332,4.11,614151
162,"Insurgent (Divergent, #2)",Veronica Roth,2012,"One choice can transform you—or it can destroy you. But every choice has consequences, and as unrest surges in the factions all around her, Tris Prior must continue trying to save those she loves—and herself—while grappling with haunting questions of grief and forgiveness, identity and loyalty, politics and love.Tris's initiation day should have been marked by celebration ",525,3.99,1367875
163,"The Cruel Prince (The Folk of the Air, #1)",Holly Black,2018,,,4.09,721361
164,The Ex Talk (Kindle Edition),Rachel Lynn Solomon,2021,,,3.76,57761
165,"A Court of Frost and Starlight (A Court of Thorns and Roses, #3.1)",Sarah J. Maas,2018,,,3.8,433701
166,"Scarlet (The Lunar Chronicles, #2)",Marissa Meyer,2013,"Cinder returns in the second thrilling installment of the New York Times-bestselling Lunar Chronicles.She’s trying to break out of prison—even though if she succeeds, she’ll be the Commonwealth’s most wanted fugitive. Halfway around the world, Scarlet Benoit’s grandmother is missing. It turns out there are many things Scarlet doesn’t know about her grandmother and the grav",454,4.26,377397
167,They Both Die at the End (Hardcover),Adam Silvera,2017,,,3.84,515457
168,"A ​Court of Silver Flames (A Court of Thorns and Roses, #4)",Sarah J. Maas,2021,"Nesta Archeron has always been prickly-proud, swift to anger, and slow to forgive. And ever since being forced into the Cauldron and becoming High Fae against her will, she's struggled to find a place for herself within the strange, deadly world she inhabits. Worse, she can't seem to move past the horrors of the war with Hybern and all she lost in it.The one person who ign",757,4.41,380727
